,id,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,neighbourhood_Harlem,neighbourhood_Morningside Heights,neighbourhood_Upper West Side
3573,1940534,62,2,18,0.29,365,0,1,0,1,0,0
3580,1945115,90,4,46,2.86,7,0,1,0,1,0,0
3588,1952271,130,1,74,1.32,0,1,0,0,0,0,1
3601,1959585,200,6,2,0.32,89,1,0,0,0,0,1
3606,1961937,120,5,8,0.13,0,1,0,0,1,0,0
3611,1965712,235,1,0,0.0,0,1,0,0,0,0,1
3622,1971540,150,1,148,2.56,357,0,1,0,0,0,1
3624,1972126,495,3,94,1.63,213,1,0,0,0,0,1
3626,1974700,250,3,11,0.19,346,1,0,0,1,0,0
3635,1979579,300,1,0,0.0,0,1,0,0,0,0,1
3643,1983188,80,3,35,0.59,362,0,1,0,0,0,1
3644,1983466,87,2,257,4.11,166,0,1,0,0,0,1
