,id,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,neighbourhood_Harlem,neighbourhood_Morningside Heights,neighbourhood_Upper West Side,Accuracy,Communication,Cleanliness,Location,Check-In,Value
208,681518,95,2,197,2.53,63,0,1,0,0,0,1,9.0,9.0,9.0,10.0,9.0,9.0
209,683821,55,3,51,0.66,59,0,1,0,1,0,0,10.0,10.0,9.0,9.0,10.0,10.0
210,689900,119,1,96,1.24,0,0,1,0,0,0,1,10.0,10.0,9.0,10.0,10.0,9.0
211,693597,160,30,24,0.33,119,1,0,0,0,0,1,10.0,10.0,9.0,10.0,10.0,10.0
212,697499,170,4,87,1.17,13,1,0,0,0,0,1,10.0,10.0,9.0,10.0,10.0,10.0
214,702551,900,1,7,0.09,236,1,0,0,0,0,1,8.0,9.0,10.0,10.0,10.0,9.0
215,707736,299,3,5,0.08,364,1,0,0,1,0,0,10.0,10.0,9.0,9.0,10.0,10.0
216,708374,100,2,301,3.9,122,0,1,0,0,0,1,9.0,10.0,9.0,10.0,10.0,9.0
218,719914,79,3,19,0.33,365,0,1,0,1,0,0,9.0,10.0,9.0,9.0,9.0,9.0
219,720394,120,1,5,0.07,0,0,1,0,0,0,1,10.0,10.0,10.0,10.0,10.0,10.0
220,721719,150,5,17,0.28,245,1,0,0,1,0,0,10.0,10.0,10.0,9.0,10.0,10.0
221,722451,350,1,1,0.02,0,1,0,0,1,0,0,10.0,10.0,10.0,10.0,10.0,10.0
222,723507,225,3,17,0.5,0,1,0,0,0,0,1,10.0,10.0,10.0,10.0,10.0,10.0
223,723709,95,10,5,0.07,89,0,1,0,1,0,0,10.0,10.0,8.0,10.0,10.0,10.0
224,728493,70,7,67,0.94,0,0,1,0,1,0,0,10.0,10.0,9.0,9.0,9.0,9.0
225,728498,80,1,128,1.69,365,0,1,0,1,0,0,10.0,10.0,10.0,9.0,10.0,10.0
226,732624,65,1,300,3.93,244,0,1,0,1,0,0,10.0,10.0,10.0,9.0,10.0,10.0
227,734749,155,181,82,1.15,32,1,0,0,0,0,1,10.0,10.0,10.0,10.0,10.0,9.0
228,739239,171,30,4,0.07,351,1,0,0,0,0,1,10.0,10.0,10.0,10.0,10.0,10.0
229,739242,185,30,8,0.11,351,1,0,0,0,0,1,10.0,10.0,10.0,10.0,10.0,9.0
230,742779,125,8,7,0.09,273,1,0,0,0,1,0,10.0,10.0,10.0,10.0,10.0,9.0
231,744228,150,1,2,0.03,0,1,0,0,1,0,0,9.0,10.0,9.0,8.0,10.0,10.0
